hash	study_hash	study_id	analysis_id	analysis_summary	analysis_type	instrument_name	instrument_type	ms_type	ion_mode
42e77c066aa641aa6c33b5ee06974abb3e22611c	9455d6b6e7ea6abc1459f1f0302b1c978696abe4	ST000001	AN000001	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
803f8f13118397017bf25174e2a57dc8ea1a3ae0	7659950e38acf930ca15c0eee94c78d9eca7f88f	ST000002	AN000002	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
40a9157daaf88a01c5ed75a8c99fef2f6a789006	afa13835283ee61ebb8746243c7d8e71c29381b0	ST000003	AN000003	LC/MS positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
bc384d5f1b96c13d4b7d0ae39f5c77bf58dd70c2	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000004	Fatty acid/eicosanoid MS quantitative analysis with deuterated standards	MS	NA	NA	ESI	NA
ee7bdd8520a4fc1c81eb505868f0610c2b0704ad	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000005	Phospholipid MS quantitative analysis with odd-chain standards	MS	NA	NA	ESI	NA
be57c785e398db088129679c2d6fb6b2cd5ca813	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000006	Sphingolipid MS quantitative analysis with C12 standards	MS	NA	NA	ESI	NA
c17e1aed15ac17e2f3cf49132ed3e8b92068c35d	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000007	Sterol MS quantitative analysis with deuterated standards	MS	NA	NA	ESI	NA
4dbd3ee147f95b9cf56db1bf24730549eab94b4d	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000008	Prenol/Cardiolipin MS quantitative analysis	MS	NA	NA	ESI	NA
39099200293da8b1ffecb52382a886678b4e49fd	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000009	Triacylglycerol MS quantitative analysis with deuterated standards	MS	NA	NA	ESI	NA
2a61329fd8f2cfdd2cb6505fa1eb05f9349f86ca	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000010	Diacylglycerol MS quantitative analysis with deuterated standards	MS	NA	NA	ESI	NA
3b7c353d8015baccb4f969b9f440379989e87d6a	ea9664116a04b7e17456bcde21cf622e878741d2	ST000004	AN000011	Cholesteryl Ester MS quantitative analysis with deuterated standards	MS	NA	NA	ESI	NA
fb51b5ad9412662de16e306ae7fb36e4a55b4455	419d8ba278745ba829198498ea4228b200bc4e47	ST000005	AN000012	Combined analysis	MS	Multiple	Multiple	Multiple	POSITIVE/NEGATIVE
96223c4cad86c706ad639287bfcab5415bf0e900	b0c96ccf9ab2664aca589a833280f6c37bf553b9	ST000006	AN000020	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
b88990442ca85edebae9ff4498d22e835a42d83d	915fd8ed4b1c5f0b0b7c05e9aecd783eb2c450b8	ST000007	AN000021	GCMS positive ion mode	MS	Leco Pegasus III GC TOF	GC-TOF	EI	POSITIVE
9b836e8a31a30e8716eded91788d82d426bf59f8	77fd9af97d4be02b4aa9bc2dc3325fef3dacdc94	ST000009	AN000023	LC/Electro-spray /QTOF positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
13dc72835f7940a600e57c9c044fdfbc43749b9e	77fd9af97d4be02b4aa9bc2dc3325fef3dacdc94	ST000009	AN000024	LC/Electro-spray /QTOF negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
0df2f01790fbae39876fe30b0f7a0a930207a512	e90614875580364ababe2a7b16bcc5649d272998	ST000010	AN000025	LC/Electro-spray /QTOF positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
8c5417e609e68ce3f00b03119cd24bf57e9b5e08	e90614875580364ababe2a7b16bcc5649d272998	ST000010	AN000026	LC/Electro-spray /QTOF negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
32045ba88d8beaa964e51d32f3921d8c2fa94cb6	ea032de602212a4998ea04571adff78eebd0990a	ST000011	AN000027	LC/Electro-spray /QTOF positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
a8165a9d5ed55f4c7765fd8e79792288a95a0409	ea032de602212a4998ea04571adff78eebd0990a	ST000011	AN000028	LC/Electro-spray /QTOF negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
